label	intensity_mean	area	axis_major_length	axis_minor_length	major_length_um	minor_length_um	axis_ratio	name	date	op_date	group	paw	spot
368	3035.939393939394	33.0	7.281160714483991	5.777186445222081	2.308127946491425	1.8313681031353997	0.7934430610396854	example_image	170125	co	co	co	ps
369	2789.266666666667	15.0	5.148879227269528	3.6092686905757128	1.6321947150444402	1.144138174912501	0.7009814235805494	example_image	170125	co	co	co	ps
370	3408.688524590164	61.0	10.250423543960387	8.17133986151205	3.249384263435443	2.59031473609932	0.797170948738665	example_image	170125	co	co	co	ps
371	3182.875	48.0	8.906968621841468	6.981568509899507	2.8235090531237454	2.2131572176381438	0.783832166286009	example_image	170125	co	co	co	ps
372	3537.285714285714	63.0	10.882441943252577	7.749821529801537	3.449734096011067	2.4566934249470873	0.7121399379122483	example_image	170125	co	co	co	ps
373	3004.6521739130435	23.0	6.014475292448898	4.86335007099463	1.9065886677063006	1.5416819725052977	0.8086075400626399	example_image	170125	co	co	co	ps
374	3456.380530973451	113.0	13.436660723710176	10.739540810359545	4.259421449416126	3.404434436883976	0.7992715624209128	example_image	170125	co	co	co	ps
375	3095.991150442478	113.0	14.998563030342053	9.823397240190648	4.7545444806184305	3.1140169251404353	0.6549558927957259	example_image	170125	co	co	co	ps
376	3151.622641509434	106.0	14.832988589861083	9.284757864152114	4.702057382985964	2.9432682429362202	0.6259532802781634	example_image	170125	co	co	co	ps
377	3082.6363636363635	11.0	4.533315962095487	3.0114583009821128	1.4370611599842693	0.9546322814113297	0.6642948177806013	example_image	170125	co	co	co	ps
378	2725.9268292682927	41.0	7.627937554935263	6.885409048969501	2.4180562049144787	2.182674668523332	0.9026567141356122	example_image	170125	co	co	co	ps
379	3205.753623188406	69.0	10.539500742618806	9.026821775570804	3.3410217354101617	2.861502502855945	0.856475272976532	example_image	170125	co	co	co	ps
380	2685.042857142857	70.0	10.931881918924518	8.59696663141783	3.465406568299072	2.7252384221594523	0.7864123208772825	example_image	170125	co	co	co	ps
381	3515.5087719298244	114.0	15.95589879014081	9.14475759267697	5.0580199164746364	2.8988881568786	0.5731270743787583	example_image	170125	co	co	co	ps
382	3183.7419354838707	62.0	9.925747272955721	8.004020774936036	3.1464618855269637	2.5372745856547234	0.8063897412282766	example_image	170125	co	co	co	ps
383	2914.9454545454546	55.0	10.24332713470154	7.121509819135904	3.247134701700388	2.2575186126660816	0.6952340509569602	example_image	170125	co	co	co	ps
384	3021.0782608695654	115.0	14.43479606517944	10.693866455073605	4.575830352661883	3.389955666258333	0.7408394553540005	example_image	170125	co	co	co	ps
385	3132.9756097560976	41.0	8.659524938198695	6.07362264000735	2.7450694054089864	1.9253383768823298	0.7013805818856791	example_image	170125	co	co	co	ps
386	3453.323529411765	102.0	12.587207934073913	10.879778407698689	3.9901449151014305	3.4488897552404842	0.8643520044065399	example_image	170125	co	co	co	ps
387	2819.5652173913045	23.0	6.014475292448898	4.86335007099463	1.9065886677063006	1.5416819725052977	0.8086075400626399	example_image	170125	co	co	co	ps
388	3073.24	50.0	8.504646308422155	7.540649253787198	2.695972879769823	2.390385813450542	0.8866505414010798	example_image	170125	co	co	co	ps
389	3425.0172413793102	58.0	9.878701262703862	7.487434643018787	3.131548300277124	2.3735167818369556	0.7579371461800263	example_image	170125	co	co	co	ps
390	3343.7413793103447	58.0	9.369949110251703	7.910889643742911	2.97027386794979	2.507752017066503	0.8442830959548725	example_image	170125	co	co	co	ps
391	2694.6111111111113	18.0	5.811865258054231	4.109609335312651	1.8423612868031913	1.3027461592941105	0.7071067811865476	example_image	170125	co	co	co	ps
392	3538.674157303371	89.0	13.264909203162981	8.994591777495243	4.204976217402665	2.851285593465992	0.6780741307562442	example_image	170125	co	co	co	ps
393	3303.204081632653	49.0	8.261047025600549	7.520401240547308	2.618751907115374	2.3839671932534965	0.9103448046285152	example_image	170125	co	co	co	ps
394	3672.777777777778	27.0	14.786769699081058	2.3133183668354573	4.687405994608695	0.73332192228684	0.1564451475144853	example_image	170125	co	co	co	ps
395	3462.5652173913045	92.0	12.852152248994278	9.581895990503659	4.074132262931186	3.03746102898966	0.7455479677540758	example_image	170125	co	co	co	ps
396	3231.86	50.0	10.041107579375112	6.404136052537896	3.1830311026619102	2.030111128654513	0.6377917975594924	example_image	170125	co	co	co	ps
397	2522.923076923077	13.0	4.1509961733021665	4.1509961733021665	1.315865786936787	1.315865786936787	1.0	example_image	170125	co	co	co	ps
398	2615.3076923076924	13.0	4.1509961733021665	4.1509961733021665	1.315865786936787	1.315865786936787	1.0	example_image	170125	co	co	co	ps
399	3113.8979591836733	98.0	14.227258510637693	9.530281464496221	4.510040947872149	3.0210992242453023	0.6698607083979284	example_image	170125	co	co	co	ps
400	3516.409090909091	66.0	11.637914833652216	7.249247694450325	3.6892190022677527	2.2980115191407533	0.6228991875321502	example_image	170125	co	co	co	ps
401	2921.9189189189187	37.0	7.478195557057361	6.336143573865718	2.3705879915871835	2.008557512915433	0.8472824126518249	example_image	170125	co	co	co	ps
402	3039.6	35.0	7.584143995519635	5.945255753764715	2.404173646579724	1.8846460739434148	0.7839059697807558	example_image	170125	co	co	co	ps
